,उपदेश,इत्,प्रत्यय,प्रकार
0,ण्वुल्,"['ण्', 'ल्']",वु,आर्धधातुक
1,वुञ्,['ञ्'],वु,आर्धधातुक
2,ण्यत्,"['ण्', 'त्']",य,आर्धधातुक
3,घञ्,"['घ्', 'ञ्']",अ,आर्धधातुक
4,णिनि,['ण्'],इन्,आर्धधातुक
5,ण,['ण्'],अ,आर्धधातुक
6,ण्युट्,"['ण्', 'ट्']",यु,आर्धधातुक
7,अण्,['ण्'],अ,आर्धधातुक
8,खुकञ्,"['ख्', 'ञ्']",उक,आर्धधातुक
9,ण्वि,['ण्'],व्,आर्धधातुक
10,ञ्युट्,"['ञ्', 'ट्']",यु,आर्धधातुक
11,ण्विन्,"['ण्', 'न्']",व्,आर्धधातुक
12,घिनुण्,"['घ्', 'ण्']",इनु,आर्धधातुक
13,उकञ्,['ञ्'],उक,आर्धधातुक
14,उण्,['ण्'],उ,आर्धधातुक
15,णच्,"['ण्', 'च्']",अ,आर्धधातुक
16,इनुण्,['ण्'],इनु,आर्धधातुक
17,इञ्,['ञ्'],इ,आर्धधातुक
18,ण्वुच्,"['ण्', 'च्']",वु,आर्धधातुक
19,णमुल्,"['ण्', 'ल्']",अमु,आर्धधातुक
20,खमुञ्,"['ख्', 'ञ्']",अमु,आर्धधातुक
21,तव्य,[],तव्य,आर्धधातुक
22,तव्यत्,['त्'],तव्य,आर्धधातुक
23,अनीयर्,['र्'],अनीय,आर्धधातुक
24,यत्,['त्'],य,आर्धधातुक
25,तृच्,['च्'],तृ,आर्धधातुक
26,ल्यु,['ल्'],यु,आर्धधातुक
27,अच्,['च्'],अ,आर्धधातुक
28,ष्वुन्,['न्'],ष्वु,आर्धधातुक
29,थकन्,['न्'],थक,आर्धधातुक
30,वुन्,['न्'],वु,आर्धधातुक
31,ट,['ट्'],अ,आर्धधातुक
32,इन्,['न्'],इ,आर्धधातुक
33,खच्,"['ख्', 'च्']",अ,आर्धधातुक
34,ड,['ड्'],अ,आर्धधातुक
35,खिष्णुच्,"['ख्', 'च्']",इष्णु,आर्धधातुक
36,विट्,['ट्'],व्,आर्धधातुक
37,विच्,['च्'],व्,आर्धधातुक
38,मनिन्,['न्'],मन्,आर्धधातुक
39,वनिप्,['प्'],वनि,आर्धधातुक
40,इनि,[],इन्,आर्धधातुक
41,ख्युन्,"['ख्', 'न्']",यु,आर्धधातुक
42,तृन्,['न्'],तृ,आर्धधातुक
43,इष्णुच्,['च्'],इष्णु,आर्धधातुक
44,युच्,['च्'],यु,आर्धधातुक
45,षाकन्,['न्'],षाक,आर्धधातुक
46,आलुच्,['च्'],आलु,आर्धधातुक
47,रु,[],रु,आर्धधातुक
48,घुरच्,"['घ्', 'च्']",उर,आर्धधातुक
49,उ,[],उ,आर्धधातुक
50,ऊक्,['क्'],ऊ,आर्धधातुक
51,र,[],र,आर्धधातुक
52,आरु,[],आरु,आर्धधातुक
53,लुकन्,"['ल्', 'न्']",उक,आर्धधातुक
54,वरच्,['च्'],वर,आर्धधातुक
55,डु,['ड्'],उ,आर्धधातुक
56,ष्ट्रन्,['न्'],ष्ट्र,आर्धधातुक
57,इत्र,[],इत्र,आर्धधातुक
58,तुमुन्,['न्'],तुम्,आर्धधातुक
59,अप्,['प्'],अ,आर्धधातुक
60,अथुच्,['च्'],अथु,आर्धधातुक
61,नन्,['न्'],न,आर्धधातुक
62,अ,[],अ,आर्धधातुक
63,अनि,[],अनि,आर्धधातुक
64,ल्युट्,"['ल्', 'ट्']",यु,आर्धधातुक
65,घ,['घ्'],अ,आर्धधातुक
66,खल्,"['ख्', 'ल्']",अ,आर्धधातुक
67,से,[],से,आर्धधातुक
68,सेन्,['न्'],से,आर्धधातुक
69,असे,[],असे,आर्धधातुक
70,असेन्,['न्'],असे,आर्धधातुक
71,अध्यै,[],अध्यै,आर्धधातुक
72,अध्यैन्,['न्'],अध्यै,आर्धधातुक
73,तवै,[],तवै,आर्धधातुक
74,तवेन्,['न्'],तवे,आर्धधातुक
75,तोसुन्,['न्'],तोसु,आर्धधातुक
76,त्वन्,['न्'],त्व,आर्धधातुक
77,अतृन्,['न्'],अतृ,आर्धधातुक
78,क्यप्,"['क्', 'प्']",य,आर्धधातुक
79,क,['क्'],अ,आर्धधातुक
80,टक्,"['ट्', 'क्']",अ,आर्धधातुक
81,क्विन्,"['क्', 'न्']",व्,आर्धधातुक
82,कञ्,"['क्', 'ञ्']",अ,आर्धधातुक
83,क्विप्,"['क्', 'प्']",व्,आर्धधातुक
84,कप्,"['क्', 'प्']",अ,आर्धधातुक
85,क्वनिप्,"['क्', 'प्']",वनि,आर्धधातुक
86,क्त,['क्'],त,आर्धधातुक
87,क्तवतुँ,['क्'],तवतुँ,आर्धधातुक
88,ङ्वनिप्,"['ङ्', 'प्']",वनि,आर्धधातुक
89,कानच्,"['क्', 'च्']",आन,आर्धधातुक
90,क्वसुँ,['क्'],वसुँ,आर्धधातुक
91,ग्स्नु,['ग्'],स्नु,आर्धधातुक
92,क्नु,['क्'],नु,आर्धधातुक
93,क्मरच्,"['क्', 'च्']",मर,आर्धधातुक
94,कुरच्,"['क्', 'च्']",उर,आर्धधातुक
95,क्वरप्,"['क्', 'प्']",वर,आर्धधातुक
96,किन्,"['क्', 'न्']",इ,आर्धधातुक
97,कि,['क्'],इ,आर्धधातुक
98,नजिङ्,['ङ्'],नजि,आर्धधातुक
99,कुक्,"['क्', 'क्']",उ,आर्धधातुक
100,क्त्रि,['क्'],त्रि,आर्धधातुक
101,नङ्,['ङ्'],न,आर्धधातुक
102,क्तिन्,"['क्', 'न्']",ति,आर्धधातुक
103,अङ्,['ङ्'],अ,आर्धधातुक
104,क्तिच्,"['क्', 'च्']",ति,आर्धधातुक
105,क्से,['क्'],से,आर्धधातुक
106,कसेन्,"['क्', 'न्']",असे,आर्धधातुक
107,कध्यै,['क्'],अध्यै,आर्धधातुक
108,कध्यैन्,"['क्', 'न्']",अध्यै,आर्धधातुक
109,तवेङ्,['ङ्'],तवे,आर्धधातुक
110,कमुल्,"['क्', 'ल्']",अमु,आर्धधातुक
111,कसुन्,"['क्', 'न्']",असु,आर्धधातुक
112,केन्,"['क्', 'न्']",ए,आर्धधातुक
113,केन्य,['क्'],एन्य,आर्धधातुक
114,क्त्वा,['क्'],त्वा,आर्धधातुक
115,एश्,['श्'],ए,सार्वधातुक
116,खश्,"['ख्', 'श्']",अ,सार्वधातुक
117,चानश्,"['च्', 'श्']",आन,सार्वधातुक
118,श,['श्'],अ,सार्वधातुक
119,शतृँ,['श्'],अतृँ,सार्वधातुक
120,शध्यै,['श्'],अध्यै,सार्वधातुक
121,शध्यैन्,"['श्', 'न्']",अध्यै,सार्वधातुक
122,शानच्,"['श्', 'च्']",आन,सार्वधातुक
123,शानन्,"['श्', 'न्']",आन,सार्वधातुक
